name,prev,weight
Черкизовская,NULL,0
Преображенская площадь,Черкизовская,319
Сокольники,Преображенская площадь,344
Красносельская,Сокольники,166
Комсомольская,Красносельская,129
Красные ворота,Комсомольская,88
Чистые пруды,Красные ворота,100
Лубянка,Чистые пруды,139
Охотный ряд,Лубянка,105
Библиотека им.Ленина,Охотный ряд,69
Кропоткинская,Библиотека им.Ленина,92
Парк культуры,Кропоткинская,129
Фрунзенская,Парк культуры,171
Спортивная,Фрунзенская,188
Воробьевы горы,Спортивная,140
Университет,Воробьевы горы,277
Проспект Вернадского,Университет,342
Юго-Западная,Проспект Вернадского,255
Тропарево,Юго-Западная,201
Румянцево,Тропарево,332
Саларьево,Румянцево,206
Речной вокзал,NULL,0
Водный стадион,Речной вокзал,186
Войковская,Водный стадион,225
Сокол,Войковская,219
Аэропорт,Сокол,160
Динамо,Аэропорт,297
Белорусская,Динамо,268
Маяковская,Белорусская,160
Тверская,Маяковская,89
Театральная,Тверская,152
Новокузнецкая,Театральная,201
Павелецкая,Новокузнецкая,157
Автозаводская,Павелецкая,294
Технопарк,Автозаводская,136
Коломенская,Технопарк,175
Каширская,Коломенская,258
Кантемировская,Каширская,206
Царицыно,Кантемировская,202
Орехово,Царицыно,269
Домодедовская,Орехово,220
Красногвардейская,Домодедовская,258
Алма-Атинская,Красногвардейская,300
Щелковская,NULL,0
Первомайская,Щелковская,156
Измайловская,Первомайская,205
Партизанская,Измайловская,310
Семеновская,Партизанская,300
Электрозаводская,Семеновская,140
Бауманская,Электрозаводская,279
Площадь Революции,Бауманская,588
Курская,Площадь Революции,367
Арбатская,Курская,558
Смоленская,Арбатская,202
Киевская,Смоленская,201
Парк Победы,Киевская,478
Славянский бульвар,Парк Победы,463
Кунцевская,Славянский бульвар,258
Молодежная,Кунцевская,313
Крылатское,Молодежная,171
Строгино,Крылатское,473
Мякинино,Строгино,260
Волоколамская,Мякинино,121
Митино,Волоколамская,238
Пятницкое шоссе,Митино,110
Кунцевская,NULL,0
Пионерская,Кунцевская,206
Филевский парк,Пионерская,175
Багратионовская,Филевский парк,137
Фили,Багратионовская,172
Кутузовская,Фили,210
Студенческая,Кутузовская,144
Киевская,Студенческая,175
Смоленская,Киевская,177
Арбатская,Смоленская,196
Александровский сад,Арбатская,72
Выставочная,Александровский сад,661
Международная,Выставочная,95
Новослободская,NULL,0
Проспект Мира,Новослободская,323
Комсомольская,Проспект Мира,214
Курская,Комсомольская,181
Таганская,Курская,179
Павелецкая,Таганская,202
Добрынинская,Павелецкая,139
Октябрьская,Добрынинская,114
Парк культуры,Октябрьская,189
Киевская,Парк культуры,270
Краснопресненская,Киевская,194
Белорусская,Краснопресненская,156
Медведково,NULL,0
Бабушкинская,Медведково,176
Свиблово,Бабушкинская,186
Ботанический сад,Свиблово,190
ВДНХ,Ботанический сад,251
Алексеевская,ВДНХ,120
Рижская,Алексеевская,155
Проспект Мира,Рижская,110
Сухаревская,Проспект Мира,95
Тургеневская,Сухаревская,79
Китай-город,Тургеневская,103
Третьяковская,Китай-город,167
Октябрьская,Третьяковская,159
